dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
,,,<0.35,<0.3,<0.3,<0.1,<0.1,<0.1,,,,,<0.25,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal,gCO2e per 100kcal,"score [0,1]","score [0,1]"
7.78980479136942e-08,1.645947561565302e-07,0.02646022658257652,1.51321854969461e-06,0.003433930322149307,2.4826813468022793e-05,4.796244701419985e-07,2.590752323118505e-07,4.769337812330189e-06,6.374882821908046e-05,0.012331424156115885,0.9576785795486026,0.875843186521327,0.18413174119111372,19.627581982905802,39.69106494235511,0.5536293473330995,0.08944116444888398
1.5792806235372162e-07,4.862183939192376e-05,3.508339580118579e-06,2.989657799524907e-05,0.003599551939894472,0.012179528396865265,1.3979674371083789e-06,1.4584066894290924e-06,4.899794134391236e-06,0.005017027043597845,6.753601697176456e-06,0.9791071981646545,0.8748819565495575,0.18095119631289253,19.75801758473813,34.947892210004724,0.5524404670069972,0.044904679540083633
1.506421500143489e-07,6.588296550949397e-07,4.80277091070125e-07,2.8517318076054155e-05,0.003678177973986321,0.011617633475140039,1.333473084120902e-06,1.5094702377043265e-08,0.04699630148016212,0.003730564986474825,9.46623406504765e-06,0.9339367002154129,0.8703250979738429,0.1932427249553586,18.978350585849512,39.89802080546674,0.5570529497664117,0.13679036860006866
0.2866201080689234,4.429764877515784e-05,0.0013257950685587017,2.2543539982779113e-05,0.0027142451918743455,0.011321636530536623,0.0002762037295671126,1.2698505929040064e-05,3.5468044642586463e-06,0.004251418467995507,6.673498382387773e-05,0.6933407714595692,0.8666842859552581,0.24394812422836065,18.335026434878607,179.94114473423173,0.6242572000038763,0.4766967556623055
0.00017041112177354487,3.759656080139889e-05,0.031061106430809275,4.271135171610867e-07,0.0023705724867724783,0.0012388601454262395,3.3476331040004135e-06,0.021975055619879485,5.287868069791071e-05,0.008261623918379063,0.07008313228237742,0.8647449880064619,0.8653982848737248,0.21360697005378843,18.044673534466042,43.06806204083212,0.5488754613659377,0.26812507942456637
0.00017394859969225283,0.006441607711168648,0.031705888162107544,4.359797497168869e-07,0.0024197819969228665,0.0012645770139216913,0.0006526986077577858,0.02276919761339354,2.4876855802056747e-05,0.008433122772912586,0.07153795242758046,0.8545759122589908,0.8638931960749882,0.21406527565767908,17.869575355345116,43.72247482985025,0.5492147322766985,0.2868415729995239
1.472023401810973e-07,0.0001610485587344716,3.2700698574185555e-06,2.786614474158813e-05,0.009007327914759918,0.029693913422424077,1.3030241438561852e-06,1.3593586498825942e-06,0.06705998040181443,0.0030785534905090274,1.7005160220608057e-06,0.8909635298960031,0.8605557204135209,0.19746666607733562,18.341906746972445,42.05188436128234,0.563086103048427,0.2189613630014759
0.05272974349976407,0.0005068693878367512,0.009226912743050692,0.03790126737819947,0.003013845277967807,0.05526836244101582,0.0018484807797984272,2.047413734564499e-06,7.715775463555314e-05,1.2465841518654036e-05,0.00021542444345994444,0.8391974230390182,0.8557445270571515,0.18790943560593407,18.794698794385894,63.93802947899516,0.5822739258619812,0.3145944173005515
0.00014917261487399234,4.915393678541028e-08,0.2787047077488744,5.857240507907366e-07,5.525803821361428e-08,1.9428751321466605e-07,2.4867442262331526e-07,1.5060827583420518e-07,4.818873194998956e-07,2.6102158552973264e-06,3.122742709777089e-08,0.7211417125994122,0.8521248546422251,0.1716727159944784,18.605688901248577,81.06166285262998,0.5918430331529808,0.4388490479648892
0.1490043584450339,0.0023022250580869703,0.2745083129907511,1.4935516506655444e-06,0.001483031147342665,0.011576460096572854,0.00907168994969148,4.034705616397738e-07,5.511414929907643e-05,0.0003751624118326748,4.998407604085857e-09,0.5516217437307692,0.8426770633832545,0.20738701414503596,17.474554336381054,156.46943035706695,0.6330893994939857,0.6522898753216038
2.130057277954214e-08,1.2340124692434276e-07,0.006917478061154005,0.06357726479585646,0.10697373719841582,6.984663219390791e-08,0.0002861797856876703,2.46910665546703e-08,5.582929848556924e-06,0.05632945622660791,3.7863582400754897e-06,0.765906275404671,0.8412952530733904,0.18555434665083492,18.974017744673663,36.80999597887374,0.5439393186918062,0.43056129508441915
0.24898864161106427,0.018970364323031837,0.3059827648066086,1.722533490066115e-05,0.00926703799939684,0.012613125374461392,4.995864355870471e-06,0.00016850017288218375,4.275122063810008e-06,0.0063919876837835055,1.7980798687632584e-06,0.3975892836275822,0.8317382471100844,0.22502901276898407,16.593433474755404,212.42039364023088,0.6609610956747425,0.7479886207035332
