dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
<0.01,,<0.01,<0.35,<0.3,<0.3,<0.25,<0.1,<0.25,,,,>0.65,,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal,gCO2e per 100kcal,"score [0,1]","score [0,1]"
0.00035588609722408634,0.00020116442536338383,3.6976561985611296e-06,2.7486324600485046e-07,0.020532044322100547,0.05096396763341434,1.3859898797520869e-06,0.022081907326899786,1.54953381439942e-08,0.8831354400806178,0.022724111475378297,1.0463433930469379e-07,0.8649528151506957,0.4716884053157905,11.211677728506539,23.831768149383706,0.511110429268226,0.23568953522331193
0.000284825001069919,1.0012608360227326e-07,9.6670826323256e-08,0.0016759712479342233,0.02897696409477392,3.1117851468750705e-05,0.0008102115425848902,0.01317728218892117,0.0006274007483936406,0.013266667416264352,0.04251037322451454,0.8986389898871646,0.8641733021671294,0.2017931423150158,18.69148625640092,37.03713837307558,0.5436160344006916,0.20667009086927005
0.0002934909040252966,0.0042746420950943885,1.491382824451398e-06,0.0035548060842671542,0.07215720389772998,1.057326628607448e-05,0.07010294877977125,0.0004116047240199905,1.1620669842252064e-05,0.7375853677780014,0.06863568574041093,0.04296056467772686,0.8622052775890547,0.46458129691111855,11.014023005356561,32.475139534907946,0.5204693143264434,0.4791917533610087
2.0874862895071474e-07,0.0001490723782838334,2.4169311908621546e-06,0.19670315901986463,4.659419689657277e-05,0.007193049704763309,1.9402755439903003e-06,0.014006379011341547,0.00023800394681564816,0.00022815313129905248,0.010755788924167882,0.7706752337312037,0.8601201381890231,0.17430252385753212,19.40953297371687,39.02195288217039,0.5679829732946278,0.4003677955958635
0.00024160799712984329,2.0377731073795507e-05,9.268234549115974e-09,0.018591092485952903,0.00200594376786795,0.010053630487385355,0.009204447316163464,0.003188802678680988,0.14470982005925714,0.003872338547889293,0.036282878256413825,0.7718290514039507,0.8574642429570477,0.23781188374506743,16.445588480460906,52.41351438007305,0.5695543986418198,0.4161402152815657
3.271954517264746e-10,0.0002017425899073531,3.6679137901093955e-06,2.756532275485217e-07,0.01918966013842052,1.1689038035481867e-07,2.0391655389053465e-06,0.09411361212094291,1.5539873131209207e-08,0.8849622032123072,0.0015265615133487407,1.0493506775088074e-07,0.8555248213513791,0.4735720107754711,10.910911215282718,27.049825691902022,0.4803156243686826,0.22648790480192763
0.0004229059895318051,0.023757396074090158,4.977994132773332e-06,0.0008127370761450738,0.02817512161333727,0.016356645355781695,0.0007877915943919029,0.012812644105566498,0.0006100394895915876,0.00018214196550351116,0.04230549674578297,0.8737721019961449,0.8551830302249792,0.19521912988460935,18.1386666998743,38.8023034496688,0.5496535600286044,0.2541171690770519
2.9181249911546317e-10,0.03558464226620308,3.271265184109794e-06,0.005802783777069224,0.0005799649773050181,1.0393141491749129e-07,0.03292485838443117,0.08393615561855171,0.0015663441339210692,0.7892622919403935,0.0013864952082474995,0.048953088205466025,0.8548238290989971,0.4525822738032103,10.653655317957691,33.178778891825445,0.49859648332749174,0.39843780427496284
3.1554702211171e-10,0.00019456038628430078,3.5373330152493864e-06,2.658397438884069e-07,0.018506492312357615,1.1269845282460105e-07,0.035602796481127456,0.09076308942633493,1.4986640751492066e-08,0.8534568143645946,0.0014722146566090676,1.0119929225532612e-07,0.8535480916399066,0.4762929106302167,10.52247372110763,30.35892903745303,0.48991661194558117,0.2855577523146496
1.048795718012416e-06,1.615902440651921e-06,7.134304428969359e-08,3.0575408112478294e-06,6.257215295882003e-06,1.5324522817867142e-06,5.559192538345021e-06,0.001004222387707434,2.090806231535224e-06,0.018327135441702704,0.9806465757659534,8.331562747017557e-07,0.8505618359271846,0.5978587425878226,2.181424417569916,59.297905256154465,0.5488343253912491,0.04144952835476902
6.536887070533797e-08,1.0071524501987429e-07,4.446637374470068e-09,1.9056903697654816e-07,9.988622292892235e-09,9.551400081996707e-08,3.4649086759606047e-07,2.6954675896339534e-08,1.3031483621820334e-07,1.3964250036889426e-06,0.9999975710394446,6.217275885343062e-08,0.8499999850336101,0.5999995844056365,2.0000192210218084,60.00000614684425,0.5500000697512553,5.299541519197184e-06
1.3823285704186996e-09,1.0071524675089245e-07,3.2831629509115066e-08,1.9056904025190596e-07,1.0196957036736044e-08,1.1871888401448336e-07,3.3984985500474626e-07,2.9301870551772318e-08,1.2960974727582512e-07,1.396425027689649e-06,0.9999975882266534,6.21727599220094e-08,0.8499999755825848,0.599999573616984,2.0000188384075246,59.99997843846116,0.5500000618072451,5.262042248357155e-06
1.243407662266512e-07,0.0005425397431558841,8.69288654670276e-06,0.12101209299137905,0.07480125466930766,9.602159268012827e-08,0.014293612991821672,7.070253485788979e-05,0.0985307028650757,0.6467161259676274,0.0002714903626173624,0.04375256462525184,0.8498699008341124,0.405675131701912,12.475258391308191,39.096564783995504,0.5350078807957128,0.5996638158999329
1.392024224694588e-09,0.1246045996389608,1.0733901596077174e-08,1.3029809601644207e-07,0.02968341278860132,7.78155946537994e-08,0.00010573102067279291,7.68037869958416e-05,3.125984902087251e-08,0.003321508260554044,0.10506045863052221,0.7371472343742275,0.8471446725849432,0.212893569478114,15.687387365687512,45.83762393819375,0.5530977961152302,0.4681721390681329
7.3438851181167674e-06,0.00036013335047710757,3.2555033229221955e-05,0.1282451905440595,0.07575934648122902,0.00010904002471874094,0.00972503111432961,0.03683916789985347,0.00017159297416783706,0.7177913930749142,0.03086837900069559,9.082661720742239e-05,0.8458433547674107,0.41693635471138185,12.380722744866397,30.210601221206772,0.5121633741978241,0.5020194227057748
7.79530849299461e-06,0.006498125090840808,3.394268662001158e-05,0.13371162248587012,0.0789885772207117,0.00011368783935825811,0.009978319877699869,0.033901806888396134,0.0021692379380385176,0.7023167772894765,0.03218413900889135,9.596836560378026e-05,0.8440131624124858,0.41174024905900647,12.373848553950937,31.042910896217986,0.5144539701537847,0.5239652490177724
3.9693724595936077e-10,2.8322781225850782e-05,2.7490579836273732e-08,5.411940272198033e-08,0.15983786674599773,1.0115465973524668e-07,1.1999539530674114e-08,0.001513565637338932,0.009655330998669618,0.802187119452933,6.905785041058134e-06,0.026770693437674957,0.8417517791531454,0.4267020481592339,12.588265759981313,24.86545860040654,0.4944954525056816,0.360147812250812
3.112855460679951e-10,0.00019193283993745885,3.489561181428085e-06,2.62249566765307e-07,0.01825656134132666,0.0486251931706729,1.940010947437712e-06,0.08953733001762483,1.4784245526492491e-08,0.841930843545981,0.0014523323346389224,9.983259148058612e-08,0.8406686518711022,0.4578382952302261,10.623492672957095,27.436403569262144,0.49586030333639647,0.3059298148941033
0.00033183791631313244,0.0001814082038863919,7.616875012208582e-07,0.003031953645379338,4.125176298211269e-06,0.04338553443857357,0.0003922293952224064,0.00042983249309728604,0.007215632652930141,0.017825420898690086,0.923812699568559,0.0033885639235490465,0.8371862879561374,0.5744250496667398,2.4339290595610863,58.86755317999617,0.561042590575078,0.15741471685238667
